a52dec 0.7.4-11
acl 2.2.53-2
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adobe-source-han-sans-tw-fonts 2.001-1
adwaita-icon-theme 3.36.0-1
alsa-lib 1.2.2-1
alsa-plugins 1.2.2-1
alsa-topology-conf 1.2.2-2
alsa-ucm-conf 1.2.2-1
aom 1.0.0.errata1+avif-1
apm 2.4.5-1
apparmor 2.13.4-2
archlinux-keyring 20200108-1
argon2 20190702-2
aribb24 1.0.3-3
aspell 0.60.8-1
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.34.1-1
atkmm 2.28.0-1
atom 1.45.0-1
attica 5.68.0-1
attr 2.4.48-2
audiofile 0.3.6-5
audit 2.8.5-6
autoconf 2.69-7
autoconf-archive 1:2019.01.06-1
automake 1.16.2-1
avahi 0.8+15+ge8a3dd0-1
baloo 5.68.0-1
baloo-widgets 19.12.3-1
base 2-2
bash 5.0.016-1
bc 1.07.1-3
betterlockscreen 3.0.1-4
binutils 2.34-2
bison 3.5.3-1
bluez-libs 5.54-1
boost-libs 1.72.0-1
brotli 1.0.7-3
bspwm-rounded-corners 0.9.9-1
btrfs-progs 5.4-1
bubblewrap 0.4.1-1
bzip2 1.0.8-3
c-ares 1.16.0-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.51-1
ca-certificates-utils 20181109-3
cairo 1.17.2+17+g52a7c79fd-2
cairomm 1.12.2-3
calc 2.12.7.1-1
cantarell-fonts 1:0.201-1
cava 0.6.1-1
cdparanoia 10.2-7
cef-minimal 80.0.8-1
celestia 1.6.1-7
chemtool 1.6.14-3
cifs-utils 6.10-1
clutter 1.26.4-1
clutter-gst 3.0.27-2
clutter-gtk 1.8.4-1
cmake 3.17.0-1
cmus 2.8.0-3
cogl 1.22.6-1
colord 1.4.4+9+g1ce26da-1
conky 1.11.5-2
convertlit 1.8-8
coreutils 8.31-3
cracklib 2.9.7-2
cryptsetup 2.3.1-1
culmus 0.133-1
cups 2.3.1-1
cups-filters 1.27.3-1
curl 7.69.1-1
dav1d 0.6.0-1
db 5.3.28-5
dbus 1.12.16-5
dbus-glib 0.110-1
dconf 0.36.0-1
desktop-file-utils 0.24-2
device-mapper 2.02.187-1
diffutils 3.7-3
discord 0.0.10-3
dmraid 1.0.0.rc16.3-12
dnssec-anchors 20190629-2
docbook-xml 4.5-8
