Linux pella 5.16.7-arch1-1 #1 SMP PREEMPT Sun, 06 Feb 2022 16:47:29 +0000 x86_64 GNU/Linux
# # # system packages ->
a52dec 0.7.4-11
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 41.0-1
alsa-lib 1.2.6.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
aom 3.3.0-1
apm 2.6.4-3
apparmor 3.0.4-1
arch-wiki-docs 20211222-1
archlinux-keyring 20220224-1
argon2 20190702-4
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
atkmm 2.28.2-2
atom 1.58.0-1
attica 5.91.0-1
attr 2.5.1-2
audit 3.0.7-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
awesome-terminal-fonts 1.1.0-4
baloo 5.91.0-1
baloo-widgets 21.12.3-1
base 2-2
bash 5.1.016-1
bashtop 0.9.25-1
bc 1.07.1-4
betterlockscreen 4.0.3-2
binutils 2.38-3
bison 3.8.2-3
bluez-libs 5.63-2
boost-libs 1.78.0-1
box2d 2.4.1-1
bpytop 1.0.68-1
brotli 1.0.9-7
bspwm 0.9.10-1
btrfs-progs 5.16.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.76-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-8
celt 0.11.3-4
cifs-utils 6.14-1
clucene 2.3.3.4-11
colord 1.4.6-1
convertlit 1.8-10
coreutils 9.0-2
cryptsetup 2.4.3-2
curl 7.82.0-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dconf 0.40.0-1
desktop-file-utils 0.26-2
device-mapper 2.03.15-1
dhcpcd 9.4.1-1
diffutils 3.8-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
dolphin 21.12.3-1
dosfstools 4.2-2
double-conversion 3.2.0-1
e2fsprogs 1.46.5-3
ebook-tools 0.2.2-7
efibootmgr 17-2
efivar 38-2
electron9 9.4.4-5
elfutils 0.186-5
exiv2 0.27.5-1
exo 4.16.3-1
expat 2.4.7-1
faad2 2.10.0-1
fakeroot 1.28-1
feh 3.8-2
ffmpeg 2:5.0-5
ffmpeg4.4 4.4.1-4
file 5.41-1
filesystem 2021.12.07-1
findutils 4.9.0-1
firefox 97.0.2-1
flac 1.3.4-2
flex 2.6.4-3
fontconfig 2:2.13.96-1
fragments 2.0.2-1
freetype2 2.11.1-1
fribidi 1.0.11-1
gawk 5.1.1-1
gc 8.2.0-2
gcc 11.2.0-4
gcc-libs 11.2.0-4
gdbm 1.23-1
gdk-pixbuf2 2.42.6-2
geoclue 2.6.0-2
geocode-glib 3.26.2+r9+g6047da3-1
gettext 0.21-2
giflib 5.2.1-2
girara 0.3.6-1
git 2.35.1-1
glances 3.2.4-2
glib-networking 1:2.70.1-1
glib2 2.70.4-2
glibc 2.35-2
glibmm 2.66.2-1
glslang 11.8.0-2
gmp 6.2.1-1
gnu-free-fonts 20120503-8
gnuchess 6.2.9-1
gnupg 2.2.32-2
gnutls 3.7.3-1
go 2:1.17.8-1
go-tools 4:0.1.9-1
gobject-introspection-runtime 1.70.0-5
gparted 1.3.1-1
gpgme 1.17.1-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.8-1
graphene 1.10.6-1
graphite 1:1.3.14-1
grep 3.7-1
groff 1.22.4-6
grub 2:2.06-4
gsettings-desktop-schemas 41.0-1
gsm 1.0.19-1
gst-plugins-bad-libs 1.20.0-3
gst-plugins-base 1.20.0-3
gst-plugins-base-libs 1.20.0-3
gstreamer 1.20.0-3
gtk-update-icon-cache 1:4.6.1-3
gtk2 2.24.33-2
gtk3 1:3.24.33-1
gtk4 1:4.6.1-3
gtkmm3 3.24.5-2
gtksourceview3 3.24.11+28+g73e57b57-1
gtop 1.1.3-1
guile 2.2.7-2
gumbo-parser 0.10.1-2
gzip 1.11-1
harfbuzz 4.0.0-1
harfbuzz-icu 4.0.0-1
hicolor-icon-theme 0.17-2
hidapi 0.11.2-1
htop 3.1.2-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hunspell-en_us 2020.12.07-4
hwdata 0.357-1
hyphen 2.8.8-3
i3lock-color 2.13.c.4-1
iana-etc 20220205-1
icu 70.1-1
imagemagick 7.1.0.27-1
imlib2 1.8.0-1
iniparser 4.1-4
intellij-idea-community-edition 4:2021.3.2-1
iproute2 5.16.0-1
iptables 1:1.8.7-1
iputils 20211215-1
iso-codes 4.9.0-1
jack2 1.9.20-4
jansson 2.14-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk11-openjdk 11.0.15.u3-1
jre11-openjdk 11.0.15.u3-1
jre11-openjdk-headless 11.0.15.u3-1
jre8-openjdk 8.332.u03-1
jre8-openjdk-headless 8.332.u03-1
js78 78.15.0-3
json-c 0.15-3
json-glib 1.6.6-1
jsoncpp 1.9.5-1
kactivities 5.91.0-1
karchive 5.91.0-1
kauth 5.91.0-1
kbd 2.4.0-2
kbookmarks 5.91.0-1
kcmutils 5.91.0-1
kcodecs 5.91.0-1
kcompletion 5.91.0-1
kconfig 5.91.0-1
kconfigwidgets 5.91.0-1
kcoreaddons 5.91.0-1
kcrash 5.91.0-1
kdbusaddons 5.91.0-1
kdeclarative 5.91.0-1
kded 5.91.0-1
kdnssd 5.91.0-1
kdsoap 2.0.0-1
kdsoap-ws-discovery-client git20200927-2
keyutils 1.6.3-1
kfilemetadata 5.91.0-2
kglobalaccel 5.91.0-1
kguiaddons 5.91.0-1
ki18n 5.91.0-1
kiconthemes 5.91.0-1
kidletime 5.91.0-1
kio 5.91.0-1
kio-extras 21.12.3-1
kitemviews 5.91.0-1
kjobwidgets 5.91.0-1
kmod 29-2
knewstuff 5.91.0-1
knotifications 5.91.0-1
kpackage 5.91.0-1
kparts 5.91.0-1
krb5 1.19.2-2
kservice 5.91.0-1
ktextwidgets 5.91.0-1
kuserfeedback 1.2.0-1
kwallet 5.91.0-1
kwidgetsaddons 5.91.0-1
kwindowsystem 5.91.0-1
kxmlgui 5.91.0-1
l-smash 2.14.5-2
lame 3.100-3
lcms2 2.13.1-1
ldb 2:2.4.2-1
ldns 1.8.1-1
leocad 21.06-2
less 1:590-1
libabw 0.1.3-2
libadwaita 1:1.0.2-1
libaio 0.3.112-2
libarchive 3.6.0-1
libass 0.15.2-2
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libatomic_ops 7.6.12-1
libavc1394 0.5.4-4
libb64 1.2.1-4
libblockdev 2.26-3
libbluray 1.3.0-2
libbsd 0.11.5-1
libbytesize 2.6-3
libcanberra 0.30+2+gc0620e4-5
libcap 2.63-2
libcap-ng 0.8.2-7
libcdr 0.1.7-3
libcloudproviders 0.3.1-2
libcolord 1.4.6-1
libconfig 1.7.3-1
libcroco 0.6.13-2
libcups 1:2.4.1-1
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-glib 16.04.0-4
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdca 0.0.7-1
libde265 1.0.8-2
libdrm 2.4.110-1
libdvbpsi 1:1.3.3-2
libe-book 0.1.3-10
libebml 1.4.2-2
libedit 20210910_3.1-1
libelf 0.186-5
libepoxy 1.5.9-1
libepubgen 0.1.1-2
libetonyek 0.1.10-1
libev 4.33-1
libevdev 1.12.0-1
libevent 2.1.12-1
libexif 0.6.24-1
libexttextcat 3.4.6-1
libffi 3.4.2-4
libfm 1.3.2-1
